[ 2013-01-29T22:56:32+08:00 ] /thinkmao/Index.php/%7B$field%7D | ERR: (ThinkException) 无法加载模块{$field}
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Run ParseTemplate Behavior [ RunTime:0.002538s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.002595s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Tag[ view_filter ] --START--
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Run ContentReplace Behavior [ RunTime:0.000103s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Run TokenBuild Behavior [ RunTime:0.000050s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000026s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Run ShowRuntime Behavior [ RunTime:0.000060s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000321s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Tag[ view_end ] --START--
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000039s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000067s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Tag[ view_template ] --START--
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Run LocationTemplate Behavior [ RunTime:0.000027s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Tag[ view_template ] --END-- [ RunTime:-0.003137s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | INFO: Tag[ view_parse ] --START--
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | NOTIC: [8] Undefined index: cid TagLibList.class.php 第 302 行.
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | NOTIC: [8] Undefined variable: str TagLibList.class.php 第 104 行.
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000606s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 15 )  [ RunTime:0.000174s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '54' )  [ RunTime:0.000106s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '51' )  [ RunTime:0.000092s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '59' )  [ RunTime:0.000094s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '55' )  [ RunTime:0.000100s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '34' )  [ RunTime:0.000088s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '35' )  [ RunTime:0.000086s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '36' )  [ RunTime:0.000110s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '37' )  [ RunTime:0.000082s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '38' )  [ RunTime:0.000088s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '39' )  [ RunTime:0.000087s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '42' )  [ RunTime:0.000087s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '43' )  [ RunTime:0.000168s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '44' )  [ RunTime:0.000104s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '45' )  [ RunTime:0.000089s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '46' )  [ RunTime:0.000088s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '47' )  [ RunTime:0.000122s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '49' )  [ RunTime:0.000098s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '50' )  [ RunTime:0.000089s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '52' )  [ RunTime:0.000089s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '56' )  [ RunTime:0.000095s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '40' )  [ RunTime:0.000092s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '41' )  [ RunTime:0.000088s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '60' )  [ RunTime:0.000087s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '61' )  [ RunTime:0.000079s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '57' )  [ RunTime:0.000091s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '48' )  [ RunTime:0.000093s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '53' )  [ RunTime:0.000089s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '62' )  [ RunTime:0.000089s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '63' )  [ RunTime:0.000088s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '64' )  [ RunTime:0.000086s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '65' )  [ RunTime:0.000090s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '66' )  [ RunTime:0.000088s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '58' )  [ RunTime:0.000084s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '67' )  [ RunTime:0.000086s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '68' )  [ RunTime:0.000085s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_brand` WHERE cid in (15,54,51,59,55,34,35,36,37,38,39,42,43,44,45,46,47,49,50,52,56,40,41,60,61,57,48,53,62,63,64,65,66,58,67,68)  [ RunTime:0.000348s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 15 )  [ RunTime:0.000144s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '54' )  [ RunTime:0.000111s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '55' )  [ RunTime:0.000107s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '56' )  [ RunTime:0.000108s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '57' )  [ RunTime:0.000102s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '58' )  [ RunTime:0.000103s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 15 )  [ RunTime:0.000101s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '54' )  [ RunTime:0.000095s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '51' )  [ RunTime:0.000088s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '59' )  [ RunTime:0.000092s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '55' )  [ RunTime:0.000099s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '34' )  [ RunTime:0.000090s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '35' )  [ RunTime:0.000257s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '36' )  [ RunTime:0.000168s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '37' )  [ RunTime:0.000107s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '38' )  [ RunTime:0.000113s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '39' )  [ RunTime:0.000205s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '42' )  [ RunTime:0.000117s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '43' )  [ RunTime:0.000203s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '44' )  [ RunTime:0.000291s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '45' )  [ RunTime:0.000083s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '46' )  [ RunTime:0.000082s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '47' )  [ RunTime:0.000074s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '49' )  [ RunTime:0.000076s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '50' )  [ RunTime:0.000133s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '52' )  [ RunTime:0.000086s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '56' )  [ RunTime:0.000206s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '40' )  [ RunTime:0.000103s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '41' )  [ RunTime:0.000099s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '60' )  [ RunTime:0.000090s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '61' )  [ RunTime:0.000082s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '57' )  [ RunTime:0.000085s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '48' )  [ RunTime:0.000087s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '53' )  [ RunTime:0.000120s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '62' )  [ RunTime:0.000094s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '63' )  [ RunTime:0.000093s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '64' )  [ RunTime:0.000084s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '65' )  [ RunTime:0.000072s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '66' )  [ RunTime:0.000090s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '58' )  [ RunTime:0.000079s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '67' )  [ RunTime:0.000073s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '68' )  [ RunTime:0.000129s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT `tid` FROM `hd_category` WHERE id in (15,54,51,59,55,34,35,36,37,38,39,42,43,44,45,46,47,49,50,52,56,40,41,60,61,57,48,53,62,63,64,65,66,58,67,68,15,54,51,59,55,34,35,36,37,38,39,42,43,44,45,46,47,49,50,52,56,40,41,60,61,57,48,53,62,63,64,65,66,58,67,68)  [ RunTime:0.000460s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000439s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_type_attr` WHERE tid in (8) and gselect = "1"  [ RunTime:0.000209s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 15 )  [ RunTime:0.000164s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '54' )  [ RunTime:0.000209s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '51' )  [ RunTime:0.000128s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '59' )  [ RunTime:0.000106s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '55' )  [ RunTime:0.000118s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '34' )  [ RunTime:0.000121s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '35' )  [ RunTime:0.000125s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '36' )  [ RunTime:0.000108s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '37' )  [ RunTime:0.000121s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '38' )  [ RunTime:0.000105s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '39' )  [ RunTime:0.000121s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '42' )  [ RunTime:0.000115s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '43' )  [ RunTime:0.000101s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '44' )  [ RunTime:0.000102s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '45' )  [ RunTime:0.000099s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '46' )  [ RunTime:0.000116s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '47' )  [ RunTime:0.000176s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '49' )  [ RunTime:0.000113s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '50' )  [ RunTime:0.000105s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '52' )  [ RunTime:0.000117s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '56' )  [ RunTime:0.000170s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '40' )  [ RunTime:0.000231s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '41' )  [ RunTime:0.000129s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '60' )  [ RunTime:0.000109s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '61' )  [ RunTime:0.000805s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '57' )  [ RunTime:0.000216s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '48' )  [ RunTime:0.000135s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '53' )  [ RunTime:0.000128s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '62' )  [ RunTime:0.000146s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '63' )  [ RunTime:0.000136s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '64' )  [ RunTime:0.000124s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '65' )  [ RunTime:0.000124s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '66' )  [ RunTime:0.000123s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '58' )  [ RunTime:0.000207s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '67' )  [ RunTime:0.000350s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = '68' )  [ RunTime:0.000124s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.000860s ]
[ 2013-01-29T22:58:18+08:00 ] /thinkmao/Index.php/List?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000226s ]
